-1 ____________________1______110_____00_____001_____111___________
1 ___________________________10_____111___000111___0______________
1 __________________1__000__010101__00100___0_000______0__________
-1 __________________0_1______01_____110_____1_000__1______________
-1 _____0_______0____1110_____10_____101_____0_____________________
-1 _________________1___1___00000_____11______1____________________
-1 _____________________0_____101____1011____0_0_______10__________
-1 __________10_______0_1_____011___00000__________________________
-1 ____01______0______10_____100______10000____11______111_________
-1 ___________________10______10______101_____000____0__1__________
-1 _____________0____0_0____1001_____10111___010________0__________
-1 000__000__0_000011011110_10101000_0110_0_100___0110_0___0_0_____
-1 ____________________10_____10______01_____01____________________
-1 000__1__000_1___00000_0_011000000011000_001000000000011_0_1__11_
-1 _____________________1___1111_____1000_____0____________________
-1 ____________________1_____011_____101___0001_____0______________
1 __________1___0____1101____10_____101_____0_____________________
-1 ______________1_____11_____11______10______001____0_0___________
-1 ____0________01__0000100__001__0___11__0___1____________________
1 __________________________000_____101_______010_____101_________
1 111_1____10_1____01000_____100____10100____1000___1000____0__0__
-1 ___________1_0___00100____0000____011____011____0_______________
-1 _____________________1____011______10____0000___________________
1 _________________01_0____0_000__10011____010_1___11101__1110_0__
-1 ___________________0_______101_____1101____1__0_________________
-1 ___________________01______01_____101______0____________________
-1 ___________________0_______001____0010_____11___________________
-1 ___________1_______100_____00_____011____0______________________
-1 _________0___0___00110__0000100___011______1_1________1_________
-1 __________________1_01____01011____00______10___________________
1 __________________________000____00011______1_______1___________
-1 __________0_______00_1____001______11____111____________________
-1 __________0________01_____001______01______0_______0____________
1 ___________________01______001_____01_1___0______0______________
-1 ___________________01______01______001______101_________________
-1 __1_______11_______01______01______00________0__________________
1 ____________________0______011___0001_____1_______1_____________
-1 ____________________1_____0100____001_____01____________________
-1 _________________0_000____0111_____01___________________________
-1 _______0___11101_____0_____1011____011____0111__________________
-1 __________0________00___00000_____110_____110_____1_1___________
-1 ___________________000_____101____101______0____________________
-1 __1000___0110011_010100__0100000_0100___1010110_1001100_10000_0_
1 _0_______0_______01__1____011_____100_______0___________________
-1 _________________000_______01111___10_____1__0__________________
1 ____________0_____10_____000000___111___________________________
-1 ____________0_______0_1_0_01011__0100_1___0_0____0______0_______
1 __________________________000____1101____010____0__0____________
-1 ______________0_____100____11101___01_0_________________________
-1 ___________________0111____00______01_______01__________________
-1 ___________________01______00______000___101_____1_______1______
-1 _________________0_1_____1010______01_____01____________________
-1 ___________1_______100____110______000__________________________
-1 ____________________10____0000_____010______1___________________
1 _________0_0______001______001_____011_______1__________________
-1 ________________000000___01110__110000____1000____1_00__________
-1 _____________________1_____110____110_____00000_________________
-1 ___________0______1_0000__011000__001000__0_010______01_________
-1 _____0______00_____01______01______11_____1_____________________
-1 __________0_______0_1_____0100_____11______1____________________
-1 ___________________000____110______10_____1_0___________________
1 _____0_______00______0_____101____111___________________________
-1 ______10____1_1__0000011_0010011_0000011_10000011_1___00________
-1 _________________1________100_____110______00______0____________
-1 _______0__10_00____000_____010___1111_0__1__10__1_______________
-1 ________________0__0_1___0001___0001111_001111____01_____0_1____
-1 ___________1______0000_____11______11_____1_____________________
-1 _____________1_______1_____101____0001_____101__________________
-1 ____________0______0_1____011_____011____0______________________
1 _________0__0____0_0_1___00011_____10____111111_________________
-1 __________0________0______00000____11______1____________________
-1 _____________________0_____11011__1101_____0__1_________________
-1 ___________________0__0____0011___1001___10_111__0_1______1_____
-1 _____________________000_111111__110001___0000_____1100____1____
1 ____________________0______100_____1100____11_0_____1___________
-1 ___________________________111_____0000___01_1__________________
1 ______________0______0_____10______011____000___________________
-1 __________________________0111____0000____100____1______________
-1 __________0_______1010_____00_0___10101___0010__1110_10____0____
-1 ____1_____0_1111__10111___100____1_0000__11100______0______100__
-1 _____________________0___11101____110_____000___________________
-1 0___10___011_1_0__01101__0_01101__001111___1_101__1_0_01_____0__
-1 _________________1___1____101______10______0_0____0_____________
-1 _____________1_____010____110_____1000_____0____________________
-1 ____0_____00______0______11111____1100____100____1_011__________
1 _____________________1_____11____0010_____010______0______0_____
1 __________________0_1____1_01_____1000_____1______0_1___________
-1 ____________1_0___000110_000111____100_1____001_____0_0________0
-1 ___________1__1____1_1___011111__10000_____0____________________
-1 __________1________1_______011_____000____10_____1_0____________
1 ____________0_____1111___00011____0111___0__11______11______1___
-1 _1_0__1___10011__100101__100111__101011_0101_0__00000_0__110____
1 __________10_______10__1___1001____0011___01__1_________________
-1 ____________________1______11_____0000____1_____________________
-1 _________________0___0___10101____101_____1_______1_____________
1 ___________________0_1_____01______01______01_____0_1___________
-1 ___0__0_____000___0010____011___101100011110001111111111__000000
-1 ______________1______1____0010_____01111__1_0_1_________________
1 ____________000____010_____1110____110_____1____________________
-1 ____________0______10______01_____00011___1_0___________________
-1 __________________________000_____1110______1_0_____1___________
-1 ___________________000_____00_____0111___0__1_1_________________
-1 __________________10______000_____001_____0_11_______1__________
1 ___________0______101______00______010____01_1__________________
-1 ___________________________111_____11_____0001______0___________
-1 ___________________110____0100_____110____01____________________
-1 ___________1_0__1_1_1_0_0101100___010_0___000___________________
1 ____________0_______011____10___11101_____0_____________________
-1 _________________111______1111_____10______0_0____0_____________
